objid,inventorynr,inventorynr_sorted,originaltitle,title_de,title_en,production_date,in_exhibition,material_de,material_en,measurement_height,measurement_width,measurement_depth,measurement_unit,description_de,description_en,creditline,acquiry_date,exploitation_rights,default_image,tags
60,L 4/0,L 00004/000,All I need is Action,,,1969,no,"Bleistift, Ölkreide, Gouache, Kohle, Collage auf Papier","Pencil, wax crayon, gouache, charcoal, collage on paper",62.7,85.5,,cm,,,Leihgabe der Artothek des Bundes/On loan from the Artothek des Bundes seit/since,1970,Eduard Angeli,https://www.mumok.at/imageobject.php?objid=60,"Malerei, Österreich"
180,B 11/0,B 00011/000,Komposition,Komposition,Composition,1959,no,Öl auf Leinwand,Oil on canvas,130.0,96.0,,cm,,,erworben/acquired in,1960,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=180,
240,G 14/0,G 00014/000,Ohne Titel,,Untitled,1970,no,"Collage, Papier, Tusche, Zeitschriftenausschnitte","Collage, paper, india ink, magazine clippings",42.5,35.5,,cm,,,erworben/acquired in,,KIKI KOGELNIK FOUNDATION,https://www.mumok.at/imageobject.php?objid=240,
300,ÖL-Stg 17/0,ÖL-Stg 00017/000,"Riesenvogel, aus der Kölner Mappe",,"Riesenvogel, from the Cologne File",1954,no,Bleistift auf Papier,Pencil on paper,29.7,21.0,,cm,,,"Leihgabe der Österreichischen Ludwig-Stiftung/On loan from the Austrian Ludwig Foundation, seit/since",1981,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=300,"Tiere, Malerei, Performance, Deutschland, Aktionskunst, Politik, Nachkriegszeit, Grafik,"
420,MG 23/0,MG 00023/000,Zeitungsfoto 348,,,1991,no,Farbfotografie,Color photograph,30.4,36.4,,cm,,,erworben mit Unterstützung der Gesellschaft der Freunde der bildenden Künste/acquired with support of the Society of the Friends of Fine Arts Vienna,2005,"Thomas Ruff/Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=420,"Deutschland, Fotografie, Realismus, Hyperrealismus, Zeitung, Medien, Appropriation Art"
480,P 27/0,P 00027/000,Kopf,,Head,1937 (1950er Jahre ),no,Bronzeguss,Bronze casting,33.0,21.0,21.0,cm,"Die Schweizer Künstlerin Sophie Taeuber-Arp gelangt über den Kubismus zu neuen Ausdrucksformen. Bereits 1916 malt Taeuber-Arp mit ihren „vertikal-horizontalen Kompositionen“ vollständig ungegenständliche Bilder, die zu den ersten konkreten bzw. konstruktiven Kunstwerken der Moderne gehören. Ihre vorwiegend aus geometrischen Elementen bestehenden Malereien, Reliefs oder Plastiken strahlen Ordnung und Harmonie aus. Der Kreis ist ihre bevorzugte Form, er erscheint von 1917 bis hin zu ihren letzten Kompositionen. Die Bronzeskulptur „Kopf“ von 1937 ist die räumliche Weiterentwicklung ihrer Reliefs. Die Grundform ist eine Kugel. Der flache, runde Sockel nimmt den untersten Teil der Rundung in sich auf, die Kuppe trägt eine spitz zulaufende Ergänzung. Das Volumen wird durch zwei verschieden große Auskerbungen gestaltet: eine öffnet sich nach unten, die andere nach oben. Die untere Aussparung macht fast ein Viertel des Kugelvolumens aus, und ermöglicht einen tief reichenden Blick in die innere Mitte der Skulptur. Durch die Negativform wird die Längsachse sichtbar, welche auf die Spitze der Plastik weist und den Ausgleich zur dominierenden horizontalen Kante bildet.","Swiss artist Sophie Taeuber-Arp arrived at a new form of expression via Cubism. By 1916 Taeuber-Arp’s painting was already completely non-representational and her “vertical-horizontal compositions” are among the first concrete or constructive artworks of modernity. Her paintings, reliefs and sculptural works, with their predominantly geometrical elements, radiate order and harmony. The circle was her preferred form — it first appeared in 1917 and lasted into her final compositions. The 1937 bronze sculpture “Head” is a spatial development of her reliefs. The basic form is a sphere. The flat, round pedestal takes the rounded form into itself, the cupola bears a pointed and tapering addition. The volume is divided by two differently-sized notches: one opens downwards, the other upwards. The lower one accounts for almost a quarter of the sphere’s volume and enables an in-depth view of the interior of the sculpture. The long axis becomes visible because of the negative form. This draws attention to the top of the piece and acts to equalize the dominant horizontal edge.",erworben/acquired in,1962,mumok,https://www.mumok.at/imageobject.php?objid=480,"Schweiz, Malerei, Bildhauerei, Relief, Tanz, Geometrie, Abstraktion, Skulptur, Plastik"
540,L 30/0,L 00030/000,Eva,,,1981,no,Acryl auf Leinwand,Acrylic on canvas,180.0,140.0,,cm,,,Leihgabe der Artothek des Bundes/On loan from the Artothek des Bundes seit/since,1982,Toni Bucher,https://www.mumok.at/imageobject.php?objid=540,
660,MG 37/0,MG 00037/000,Zeitungsfoto 064,,,1990,no,Farbfotografie,Color photograph,18.4,13.4,,cm,,,erworben mit Unterstützung der Gesellschaft der Freunde der bildenden Künste/acquired with support of the Society of the Friends of Fine Arts Vienna,2005,"Thomas Ruff/Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=660,"Deutschland, Fotografie, Porträt, Realismus, Hyperrealismus, Zeitung, Medien, Appropriation Art"
720,B 42/0,B 00042/000,Bild Opus 45,Bild Opus 45,Painting Opus 45,1923,no,Öl auf Leinwand,Oil on canvas,146.0,92.0,,cm,,,erworben/acquired in,1961,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=720,
9800,MD 198/0,MD 00198/000,"Selbstmörderkranz / Söbstmeadagraunz, Gedichte im Wiener Dialekt",,,1966,no,"Buch, 52 Seiten, mit 1 Bildnis und 4 Selbstbildnissen des Autors","Book, 52 pages, with 1 portrait and 4 self-portraits of the author",15.0,10.0,0.7,cm,,,"Sammlung/Collection Dieter und Gertraud Bogner im/at the mumok, seit/since",2010,Gerhard Rühm,https://www.mumok.at/imageobject.php?objid=9800,"Österreich, Lautgedicht, visuelle Poesie, Wiener Gruppe, Literatur, Musik,  Poesie, Sprache, Schrift, Buch, Künstlerbuch"
